학습자료명,페이지 번호,키워드명,파일명,목차명,확장자명,출처명,홈페이지주소,작성일자,데이터기준일자,제공기관코드,제공기관명
세계화의 의미,,"세계화의 의미;SNS;소셜네트워크서비스;세계화로 인한 변화;전통 문화;전통 문화 세계화하는 방법;초등학교 6학년 사회 정보화,세계화 그리고 우리;초6 사회 정보화,세계화 그리고 우",,,,,https://www.edunet.net/contsMvGllry/view/152/1970167,,2025-04-21,B550629,한국교육학술정보원
생활 속 환경 이슈,,세계화;로컬;지구촌;중학교 2학년 사회;사회2;세계화 시대의 지역과 전략;세계화;로컬;지구촌,,,,,https://www.edunet.net/contsMvGllry/view/152/2048839,,2025-04-21,B550629,한국교육학술정보원
시장의 원리,,시장의 원리;다양한 형태의 시장;희소성;가격;자원 배분의 역할;자원 배분 효과;중학교 사회 시장 경제의 이해;가격의 결정과 변동;시장 가격의 결정과 기능;고등학교 경제 시장과 경제,,,,,https://www.edunet.net/contsMvGllry/view/152/1972187,,2025-04-21,B550629,한국교육학술정보원
시장 가격의 결정,,시장 가격;수요량;수요 곡선;수요의 변동 요인;공급의 법칙;공급 곡선의 변화 요인;시장 가격 결정;초과 수요;초과 공급;중학교 사회 시장 경제의 이해;수요와 공급의 법칙;시장의 수,,,,,https://www.edunet.net/contsMvGllry/view/152/1992004,,2025-04-21,B550629,한국교육학술정보원
"정보의 홍수, 빅데이터(BIG DATA)란",,"정보의 홍수;빅데이터;BIG DATA;정보화 사회;심야버스;범죄 예보 시스템;도시 관리 시스템;긴급 대응 시스템;빅데이터 활용;초등학교 6학년 사회 정보화,세계화 그리고 우리;초6",,,,,https://www.edunet.net/contsMvGllry/view/152/14732,,2025-04-21,B550629,한국교육학술정보원
빅데이터와 관련된 미래 신 직업,,"빅데이터, 미래의 유망 직종",,,,,https://www.edunet.net/contsMvGllry/view/152/43525,,2025-04-21,B550629,한국교육학술정보원
지리 정보 기술의 활용,,지도;맵티즌;초등 3학년 1학기 사회; 사회 3학년 1학기;초3 사회;우리가 살아가는 곳;초등 5학년 1학기 사회; 사회 5학년 1학기;초5 사회;초등 6학년 1학기 사회; 사회 ,,,,,https://www.edunet.net/contsMvGllry/view/152/2048835,,2025-04-21,B550629,한국교육학술정보원
4·19혁명,,4·19혁명;미국 독립선언문;3·15 부정선거;김주열;이승만 하야;초등학교 5학년 사회 대한민국의 발전과 오늘의 우리;초5 사회 대한민국의 발전과 오늘의 우리;경제화와 민주 발전;,,,,,https://www.edunet.net/contsMvGllry/view/152/28030,,2025-04-21,B550629,한국교육학술정보원
6월 민주항쟁,,6월 민주항쟁;대한민국 대통령 선거;직선제;간선제;민주주의의 발전;6.29 민주화 선언의 내용;대선 투표율;초등학교 5학년 사회 대한민국의 발전과 오늘의 우리;초5 사회 대한민국의,,,,,https://www.edunet.net/contsMvGllry/view/152/2022348,,2025-04-21,B550629,한국교육학술정보원
5·18 민주화 운동,,5·18 민주화 운동;민주화;박정희;군사 정변;박정희 집권;장발과 미니스커트 단속;광주;전두환;청문회;6월 민주 항쟁;초등학교 5학년 사회 대한민국의 발전과 오늘의 우리;초5 사회,,,,,https://www.edunet.net/contsMvGllry/view/152/2023906,,2025-04-21,B550629,한국교육학술정보원
구석기와 신석기의 생활 모습,,구석기;신석기;구석기 생활모습;흥수아이;구석기 시대 유물;신석기 생활모습;신석기 시대 유적과 분포;초등학교 5학년 사회 하나 된 겨레;초5 사회 하나 된 겨레;선사 시대 사람들,,,,,https://www.edunet.net/contsMvGllry/view/152/8692,,2025-04-21,B550629,한국교육학술정보원
우리가 지켜야 할 소중한 세계유산,,"유네스코, 고인돌, 정림사지, 미륵사지, 고분군",,,,,https://www.edunet.net/contsMvGllry/view/152/48226,,2025-04-21,B550629,한국교육학술정보원
청동기의 생활 모습,,청동기;청동기 생활모습;청동기 만드는 과정;단군신화;초등학교 5학년 사회 하나 된 겨레;초5 사회 하나 된 겨레;선사 시대 사람들,,,,,https://www.edunet.net/contsMvGllry/view/152/1997554,,2025-04-21,B550629,한국교육학술정보원
"유물, 유적의 발굴",,유물;유적;발굴;다양한 문화재;유물의 발굴 과정;초등학교 5학년 사회 하나 된 겨레;초5 사회 하나 된 겨레;선사 시대 사람들,,,,,https://www.edunet.net/contsMvGllry/view/152/2000161,,2025-04-21,B550629,한국교육학술정보원
우리 경제의 성장 과정,,경제 성장을 위한 노력;우리나라 경제 위기;오일 쇼크;IMF;금 모으기 운동;금융위기;서브프라임 모기지론;초등학교 6학년 사회 우리나라의 경제 성장;초6 사회 우리나라의 경제 성장,,,,,https://www.edunet.net/contsMvGllry/view/152/562,,2025-04-21,B550629,한국교육학술정보원
우리나라 무역의 특징,,우리나라 무역 특징;무역이 이루어지는 이유;우리나라 무역 성장;우리나라 무역 상대국;우리나라의 무역의존도;초등학교 6학년 사회 우리 경제의 성장과 과제;초6 사회 우리 경제의 성장,,,,,https://www.edunet.net/contsMvGllry/view/152/27389,,2025-04-21,B550629,한국교육학술정보원
우리 경제의 특징,,우리 경제의 특징;대형마트;노동력 착취;기업의 사회적 책임;내일의 신발;초등학교 6학년 사회 우리 경제의 성장과 과제;초6 사회 우리 경제의 성장과 과제,,,,,https://www.edunet.net/contsMvGllry/view/152/44871,,2025-04-21,B550629,한국교육학술정보원
우리나라의 공업발달 및 특색,,우리나라의 공업발달;우리나라의 공업 특색;공업;공업이 시작된 시기;근대 공업;공업의 발달;우리나라 공업의 특징;초등학교 6학년 사회 우리 국토의 모습과 생활;초6 사회 우리 국토의,,,,,https://www.edunet.net/contsMvGllry/view/152/1998778,,2025-04-21,B550629,한국교육학술정보원
도시 지역 분화,,도시 지역 분화;서울의 지가 분포;지역들이 분화되는 이유;도시 내부 구조;도심;부도심;중간지역;외곽지역;위성도시;개발 제한 구역;중학교 사회 도시 발달과 도시 문제;고등학교 한국지,,,,,https://www.edunet.net/contsMvGllry/view/152/2011567,,2025-04-21,B550629,한국교육학술정보원
도시화,,도시화;질적 도시화;양적 도시화;역도시화;가도시화 현상;중학교 사회 도시 발달과 도시 문제;고등학교 한국지리 거주 공간의 변화,,,,,https://www.edunet.net/contsMvGllry/view/152/2013662,,2025-04-21,B550629,한국교육학술정보원
국토 개발과 지속 가능한 발전,,국토 개발;지속가능한 발전;우리나라 국토 개발 과정;새만금;지속가능개발위원회;UNCSD;청계천;초등학교 6학년 사회 우리 국토의 모습과 생활;초6 사회 우리 국토의 모습과 생활,,,,,https://www.edunet.net/contsMvGllry/view/152/2001136,,2025-04-21,B550629,한국교육학술정보원
대통령제와 의원 내각제,,대통령제;의원 내각제;의원 내각제 구성 과정;대통령제 구성 과정;중학교 사회 정치 생활과 민주주의;민주주의 구현을 위한 정부 형태;고등학교 정치 시민 생활과 정치;민주적 정부 형태,,,,,https://www.edunet.net/contsMvGllry/view/152/65152,,2025-04-21,B550629,한국교육학술정보원
민주정치 발달 과정,,민주정치 발달 과정;아테네;폴리스;도편;도편추방제;아고라 광장;영국 시민혁명;시민혁명;영국 명예혁명;프랑스 시민 혁명;입헌주의;차티스트 운동;중학교 사회 정치 생활과 민주주의;민주,,,,,https://www.edunet.net/contsMvGllry/view/152/65212,,2025-04-21,B550629,한국교육학술정보원
